tweet_text,is_there_an_emotion_directed_at_a_brand_or_product,target
new buzz mention google launch major new social network called circles possibly today link rt mention sxsw,No emotion toward brand or product,2
headline ipad 2 musthave gadget sxsw hmm could seen one coming link gadget,Positive emotion,0
know dataviz translates satanic iphone im sayin sxsw,Negative emotion,1
mention google launched checkins month ago check ins ok check outs future sxsw bizzy,Positive emotion,0
mention google launched checkins month ago check ins ok check outs future sxsw bizzy via mention,No emotion toward brand or product,2
\x89ûïmention google tweet new think speak mark belinsky 911tweets panel sxsw\x89û\x9d,Positive emotion,0
attending left brain search google right brain search x bettersearch talking future search engines sxsw,No emotion toward brand or product,2
hp opens mobile park amp content incubator sxsw link apple constructs popup store link,No emotion toward brand or product,2
kawasaki not cs lewis level reasoning apples continued existence evidence existence god bawling sxsw,Positive emotion,0
kawasaki pagemaker saved apple oh days sxsw jwtatl enchantment,No emotion toward brand or product,2
kawasaki pagemaker saved apple oh days sxsw jwtatl enchantment via mention,Positive emotion,0
spark android teamandroid award sxsw read link,Positive emotion,0
unboxing apple sxsw mention apple store sxsw link,No emotion toward brand or product,2
sxsw apple ipad 2s great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi,Positive emotion,0
sxsw apple schools marketing experts sxsw cnet blogs link,No emotion toward brand or product,2
sxsw apple schools marketing experts link,Positive emotion,0
sxsw apple schools marketing experts link,No emotion toward brand or product,2
temporary apple store def tent powerhouse gym sxsw link,Positive emotion,0
temporary apple store 6th congress sxsw along 10000 happy hipsters,Positive emotion,0
\x89ûïmention apple wins sxsw link opening temporary store downtown austin support ipad2 launch good,Positive emotion,0
ipad austin trending today fun sxsw nerdy nerds,Positive emotion,0
headed austin sxsw check map newbies link mention mention mention mention enjoy,No emotion toward brand or product,2
funny austin trending sxsw matter minutes point least according twitter iphone,No emotion toward brand or product,2
christian ipad iphone devs want talk u sxsw maybe wk together cool app mention,Positive emotion,0
sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,No emotion toward brand or product,2
apple ipad2 taken sxsw austin storm link mention excited part mobile,Positive emotion,0
haz ipad2 ifrom sxsw gr8 link,Positive emotion,0
stacks ipad2s waiting bought sxsw got mine hassle apple handled perfectly link,Positive emotion,0
googles mobile future elusive power link via mention eurorscg sxsw sxswi,No emotion toward brand or product,2
notatsxsw sxsw heres link free download meet nearby peps,No emotion toward brand or product,2
smallbiz need reviews play google placeswe got app thatlink seo sxsw,Positive emotion,0
smallbiz need reviews play google placeswe got app thatlink seo sxsw,No emotion toward brand or product,2
samsung sony follow apple hp lead mention link austin atx sxsw,No emotion toward brand or product,2
samsung sony follow apple hp lead mention link austin atx sxsw via mention rg,No emotion toward brand or product,2
take sxsw rt mention major south korean director gets 130000 make movie entirely iphone link,Positive emotion,0
beautiful sxsw mention apple store sxsw pic link,Positive emotion,0
q1 sxsw sxswi prep amazing pre push locally focus location based google owns 10 regions billboards pr20chat,No emotion toward brand or product,2
sxsw accounts need follow apps download iphone,No emotion toward brand or product,2
headed sxsw want share gather contact info link turn iphone business card broadcaster,No emotion toward brand or product,2
headed sxsw want share gather contact info link turn iphone link,No emotion toward brand or product,2
btw sxsw apple store sold 3g models vzw amp atampt,No emotion toward brand or product,2
must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,Positive emotion,0
temporary sxsw apple store apple sneaky usual link,Positive emotion,0
anyone sxsw popup apple store austin thats got ta hopping place today,No emotion toward brand or product,2
\x89ûïmention sxsw beta testing interactive book ipad app moonbot studios louisiana cool app\x89û\x9d,Positive emotion,0
apple sxsw day one seeing ton ipad2,Positive emotion,0
fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet mention fo info sxswi attsxsw tonight mention bolt house,No emotion toward brand or product,2
anyone sxsw chance check popup apple store wondering worth trek convention center,No emotion toward brand or product,2
\x89ûïmention sxsw ipad store sold everything except 64gig wifi white\x89û\x9d mention manage get,Positive emotion,0
\x89ûïmention sxsw ipad store sold everything except 64gig wifi white\x89û\x9d also known white jeans configuration,Positive emotion,0
offered sxsw ipad promo ninjafinder users fans sxsw sucks sxsw,Positive emotion,0
mention sxsw austin conference google search interactive music film,No emotion toward brand or product,2
anyone sxsw know apple selling ipad 2,No emotion toward brand or product,2
anyone sxsw know apple store new shipment ipads yet,No emotion toward brand or product,2
marc ecko sxsw launches iphone app autodial political change link edreform edtech eduvc fightthepaddle,No emotion toward brand or product,2
poursite sxsw learning lifechanging impact ipad real peoples actual lives bravo,Positive emotion,0
mention sxsw lonelyplanet austin guide iphone free limited time link lp travel,Positive emotion,0
free sxsw mp3 downloads time itunes link,No emotion toward brand or product,2
anyone sxsw heading aclu event seen owt google circles,No emotion toward brand or product,2
mention sxsw prompt memory go google map describe childhood walk,No emotion toward brand or product,2
apple sxsw store still ipad 2s short lines,Positive emotion,0
essential sxsw tools link,No emotion toward brand or product,2
left sxsw tradeshow demo mention google theatre ok get see presenters using,Positive emotion,0
following sxsw tweets google realtime four platforms tweet deck listening panel realizing im spoken one today,No emotion toward brand or product,2
anyone sxsw want ipad 2 im line pick one someone willing pay 50 grab 1,No emotion toward brand or product,2
anyone sxsw want make quick hundred dollars new ipad2 ad hoc apple store gets hundred plus cost,Positive emotion,0
solving sxswinduced iphoneintoilet crisis apple store mention crisis,No emotion toward brand or product,2
monday sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis mondays,Positive emotion,0
attending sxsw austin guide mention free download itunes link lp,No emotion toward brand or product,2
seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync wp7,Negative emotion,1
ready sxsw iphone apps 2 make ur blogging easier link sxsw sxswi,Positive emotion,0
ipad2 sxswa conflagration doofusness link,Negative emotion,1
attention sxswers link rumored popup temporary apple store sxsw ipad 2 launch needs,Positive emotion,0
went sxswi lousy ipad sxsw link,Positive emotion,0
hey sxsw sxswi folks want learn security come bsidesaustin link,No emotion toward brand or product,2
attending sxswi work iphone ipad game development looking hire austinbased ios developer im man lets talk sxsw,No emotion toward brand or product,2
winning picture android google sxsw link,Positive emotion,0
gsdampm google 710 rt mention whats best party hit tonight sxsw mention mention,No emotion toward brand or product,2
gsdampm google industry party sxsw mention great meet link,No emotion toward brand or product,2
spent 1000 come sxsw youve already used ipad 1 wait couple city blocks ipad2 sxsw link,Negative emotion,1
sxsw day 1 marissa mayer google connect digital amp physical worlds mobile link,No emotion toward brand or product,2
behind 100s emails give 1 line iphone composed replies sxsw protip,Positive emotion,0
like 10pm night line around block popup apple stores selling ipad2s sxsw,Positive emotion,0
mention 1154 free songs sxsw year alone link,No emotion toward brand or product,2
150 million mobile users google maps mobile sxsw,No emotion toward brand or product,2
currently 150 people line pop apple store sxsw,No emotion toward brand or product,2
ipad 2 available sxsw 64gb wifionly model 699 plus optional leather smart cover 69,No emotion toward brand or product,2
\x89÷¼ love 2 entertain you\x89ûplease don\x89ûªt grateful \x89÷ link \x89ã edchat musedchat sxsw sxswi classical newtwitter,No emotion toward brand or product,2
less 2 hours announce details ipad 2 giveaway sxsw sxswi,No emotion toward brand or product,2
im 2 ipad 2s seen wild people say fast still pics terrible sxsw,Negative emotion,1
ipad 2 queue sxsw course,No emotion toward brand or product,2
ipad 2 takes sxsw video mention link,Positive emotion,0
many ipad 2s snapping away keynote slides sxsw,Positive emotion,0
apple 200m users credit cards syncd itunes one click purchase winning sxsw,No emotion toward brand or product,2
2nd cocktail texas snowflake mention google cnngrill sxsw,No emotion toward brand or product,2
new post 3 iphone apps well using south southwest interactive link sxsw sxswi,Positive emotion,0
new post 3 iphone apps well using south southwest interactive sxsw sxswi link,No emotion toward brand or product,2
sweet new 3d google maps demo going ballroom sxsw,Positive emotion,0
35 million miles per day driving google maps navigation sxsw,Positive emotion,0
rt 4 pm ipad2 line apple store longer wider \x89ûò 250 people one hour sxsw,No emotion toward brand or product,2
u smart 4 packing extra rt mention way sunny austin sxsw extra iphone stow case mention mention,No emotion toward brand or product,2
wonder 4sqwill attempt block gowalla crosscheckins way facebook blocked googles contacts connections sxsw lbswars,No emotion toward brand or product,2
sxsw day 5 apple store theres still lineand growing link,Positive emotion,0
check 5 steps bulletproof ux strategy sxsw link sxsw rhjrux5 link,No emotion toward brand or product,2
wandering 6th street girls stopped ceviche mojitos apple juice amp ice cream sxsw,No emotion toward brand or product,2
youre band sxsw want share track audience stage use frostwire android theres wifi available,Positive emotion,0
weve got busy week ahead new book google apps available amazon amp attending sxsw,No emotion toward brand or product,2
believe went aussies sxsw rt mention ipad 2 sold 70 went new buyers report link,No emotion toward brand or product,2
\x89ûïmention google spreadsheet 270 parties sxsw year oo link mention plan going sxsw party,No emotion toward brand or product,2
guy line apples popup store sixth street austin im guy told sxsw,No emotion toward brand or product,2
u iphone dont need caruse zimride etc share rides sxsw shareable,Positive emotion,0
ive seen lot tablets every single one ipad sxsw,No emotion toward brand or product,2
receiving lot mention messages telling im sexy response post looking meet fellow christian iphone devs sxsw,No emotion toward brand or product,2
picked mophie battery case 4 iphone prep sxsw lugging around laptop amp using phone huge win last year,Positive emotion,0
thats news p rtmention google launch major new social network called circles possibly today link sxsw,No emotion toward brand or product,2
took piss trade show ipad one hand iphone pissing kiiiiiilling right sxsw,No emotion toward brand or product,2
rumor monger good read å google circles preview mention sxsw link mention via mention socbiz fb,Positive emotion,0
hobo shotgun iphone game link sxsw,No emotion toward brand or product,2
hobo shotgun video game coming ipad iphone users yes please link sxsw,Positive emotion,0
build store less 24 hours one biggest launches companys history got apple sxsw ipad2,Positive emotion,0
took survey iphone starbucks line got free starbucks gift card instant research instant gratification sxsw gsdm,No emotion toward brand or product,2
apple temporary retail store austin ipad 2 release today opens 5pm sxsw sxswi ipad2,No emotion toward brand or product,2
read groupme sxswsounds like incredible app available android phones yet,Positive emotion,0
wondering circles gt google reveal new social network sxsw link,No emotion toward brand or product,2
google search local marissa mayer sxsw,No emotion toward brand or product,2
wondering street closures sxsw made google map show link sxsw austin,No emotion toward brand or product,2
google another go social google circles sxsw google,No emotion toward brand or product,2
questions whats inside ipad 2 fire way sxsw,No emotion toward brand or product,2
paraormal activity sanctuary iphone game sketching ar experience interactivity magic lense eduar sxsw,No emotion toward brand or product,2
apple iie ad 85 si swimsuit issue garage sale sxsw link,No emotion toward brand or product,2
flipboard adds instagram photos social search apps link apple socialsearch sxsw,No emotion toward brand or product,2
spent aftrnoon frozen lake photographing brother scott amp mention team catch sxsw ths weeknd link,No emotion toward brand or product,2
iphone alarms botch timechange many sxswers freak late flights missed panels behind bloody marys,Negative emotion,1
shouts ladies holding ipad 2s free sxsw shows take photos sipping free beer cc mention,Positive emotion,0
dj hoodie allen due respect probably make way back google sxsw,No emotion toward brand or product,2
meant also wish sxsw dyac stupid iphone,Negative emotion,1
audioboo american dream bust link ipad sxsw bum begger us socialart documentally,No emotion toward brand or product,2
skifta appbased media shifting service turns android phone sxsw mashable sxswi link,No emotion toward brand or product,2
rumors apple store opening sxsw 6th amp congress signs point yes link,Positive emotion,0
apple security guy locks store sxsw link,No emotion toward brand or product,2
apple security guy locks store sxsw realtime sxsw link curated mention,No emotion toward brand or product,2
got ipad 2 sxsw link cc mention,No emotion toward brand or product,2
picked ipad 2 sxsw pop apple store 15 minute wait,Positive emotion,0
brilliant enlightening game mechanics presentation mention google sxsw,Positive emotion,0
gsdampm googlesitting tree link sxsw gsdm,No emotion toward brand or product,2
mention heres pic winning ipad unsix sxsw cc mention mention link cont link,No emotion toward brand or product,2
iphone thirsty sxsw mention chevy volt lounge w 16 others link,No emotion toward brand or product,2
iphone thirsty sxsw mention chevy volt lounge w 16 others link link,No emotion toward brand or product,2
came left sxsw iphone playing song chosen random skreams listening records wall appropriate,No emotion toward brand or product,2
marketing sales genius link apple sxsw,Positive emotion,0
arduino android flaming skulls link refrigerator speaks salon k 330pm mention mention sxsw smartthings,No emotion toward brand or product,2
reminder android chrome tts talk mention 1 pm today link sxsw,No emotion toward brand or product,2
ipad 2 vs android vs world panel sxsw today 330pm mention link,No emotion toward brand or product,2
backupify announces cloudsight search first searchable archive solution social media google apps sxsw sxswi link,No emotion toward brand or product,2
google announcing social network circles via sxsw tweets interesting myopia cause buzz jokes interesting,No emotion toward brand or product,2
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,Positive emotion,0
u see anything googles circles sxsw mention mention,No emotion toward brand or product,2
sxsw app iphone ridiculous personal planner next 5 days,Positive emotion,0
sxsw app android huge props mention mention mention amp mention get link,No emotion toward brand or product,2
found app kyping iphones geolocation amp releasing background need patch mention batterykiller sxsw,Negative emotion,1
sxsw app iphone live rsvp events phone amp check sundayswaggereventbritecom 3 20 scoremore,Positive emotion,0
iphone app screen sxsw missing link,No emotion toward brand or product,2
love app awesome rt mention must see android app sxsw bizzy link,Positive emotion,0
sxsw apple popup store nuts still packed 1130 link,No emotion toward brand or product,2
say apple sxsw popup store austin link mention mention,No emotion toward brand or product,2
breaking apple announces partnership w porn industry new ipad2 video chat app called ofacetime sxsw,No emotion toward brand or product,2
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipad2,Negative emotion,1
love apple didnt let something like retail store near sxsw keep away opening popup store link,Positive emotion,0
surprise apple opened popup store austin nerds town sxsw get new link cnet,Positive emotion,0
surprise apple opened popup store austin nerds town sxsw get new ipads link cnet,Positive emotion,0
surprise apple opened popup store austin nerds town sxsw get new ipads http link,No emotion toward brand or product,2
surprise apple opened popup store austin nerds town sxsw get new ipads link,Positive emotion,0
technews apple heads sxsw sets temporary store austin link technews apple ipad2 rancewilemon sxsw tech,No emotion toward brand or product,2
\x89ûïmention apple great example retail store layed future registers checkout line sxsw,Positive emotion,0
\x89ûïmention apple opening temporary store downtown austin sxsw ipad 2 launch link gswsxsw,Positive emotion,0
\x89ûïmention apple opening temporary store downtown austin sxsw ipad 2 launch oh yay traffic,Negative emotion,1
technews apple opening popup store austin sxsw link technews americanstatesman apple appleapple sxsw tech,No emotion toward brand or product,2
technews apple opening popup store austin sxsw geekfest apple link technews apple brianlam ipad2 sxsw tech,No emotion toward brand or product,2
sxsw apple popup store open noon fresh shipment ipad 2s im pretty sure im going get one fingers crossed,Positive emotion,0
technews apple saves sxsw set open popup store link technews apple sxsw tech,Positive emotion,0
sxsw apple schools marketing experts link,No emotion toward brand or product,2
sxsw apple schools marketing experts link,Positive emotion,0
sxsw apple schools marketing experts link via mention,Positive emotion,0
sxsw apple schools marketing experts link via mention ltlt true love loathe one marketing like,Positive emotion,0
sxsw apple schools marketing experts cnet link,Positive emotion,0
sxsw apple schools marketing experts cnet blogs link austin atx retail,Positive emotion,0
\x89ûïmention apple store downtown austin open til midnight sxsw\x89û\x9d mention theres still time,Positive emotion,0
\x89ûïmention apple store downtown austin open til midnight sxsw\x89û\x9d ipad2 left stock,No emotion toward brand or product,2
mention apple store congress link sxsw austin,No emotion toward brand or product,2
the apple store mall sunday 10x crowded line fake need fucking dongle genius let sxsw,Negative emotion,1
2wks apple store 6th austin street opened sxsw,No emotion toward brand or product,2
special apple store opening 6th congress sxsw amp ipad 2 launch wwwapplecom retail thedomain apple ipad2 sxsw fb,No emotion toward brand or product,2
makeshift apple store 6th congress youre kidding amazing sxsw apple,Positive emotion,0
temporary apple store sxsw huge line link,No emotion toward brand or product,2
temporary apple store sxsw really coolas ipad 2 apple sxsw fanboy,Positive emotion,0
temporary apple store set sxsw shit temptation going control,Positive emotion,0
temporary apple store sxsw line goes around block link,No emotion toward brand or product,2
temporary apple store opens mention 6th amp congress tomorrow ipad2 sxsw,No emotion toward brand or product,2
temporary apple store opens 5pm 6th congress line already growing ipad viewio link via mention sxsw,Positive emotion,0
temporary apple store block office cant wait see line tomorrow photos come sxsw ipad2,Positive emotion,0
sxsw apple store opens noon day closes run ipad2s didnt buy stock 10 years ago,No emotion toward brand or product,2
base camp apple sxsw link,No emotion toward brand or product,2
ipad news apps last year sxsw link,Negative emotion,1
10 iphone apps you\x89ûªll probably need use sxsw link,Positive emotion,0
150 million mobile google maps users mention sxsw,Positive emotion,0
lines already forming apples popup store austin arent people see festival link sxsw,No emotion toward brand or product,2
android rt mention 10 new mobile apps i\x89ûªll using atåêsxsw link,Positive emotion,0
sxsw attending sxsw report see android phone get bannka app,No emotion toward brand or product,2
ipad apps like software development release start working update sxsw,Positive emotion,0
tweets stalled data sluggish come atampt verizon embarrassing iphone customers havent switched sxsw iphone,No emotion toward brand or product,2
tweeting google coming circles platform today outside circle keep itsnot sxsw,No emotion toward brand or product,2
\x89ûïmention stupid find sxsw mac link special price games mac\x89û\x9d,No emotion toward brand or product,2
slate see much traffic mobile safari app ipad sxsw electricnews,No emotion toward brand or product,2
unloading apple store corner 6th congress austin temp store sxsw link,No emotion toward brand or product,2
great day sxsw jaloux mention amp new ipadlook school bus 1st day school link,No emotion toward brand or product,2
arrived sxsw mention issue hasnt resolved dying use iphone app cant login rtmention mention,No emotion toward brand or product,2
sxsw screenburn mention launch clients new iphone game travellerarlaunch find link,No emotion toward brand or product,2
anyone sxsw wants see demo piccraft ipad 2 find,No emotion toward brand or product,2
sxsw could spend mention teaching theater alone look schedule link,No emotion toward brand or product,2
youre sxsw meet us fado give wristbands magically lead beer come say hi link,No emotion toward brand or product,2
youre sxsw want ipad 2 apples setting temporary store check link,No emotion toward brand or product,2
overheard sxsw the ipad relaxing computer agreed ipad apple,Positive emotion,0
overheard sxsw interactive arg hate iphone want blackberry back shocked,Negative emotion,1
youre sxsw meet author host android devs sat 1230pm hilton room 615ab,No emotion toward brand or product,2
\x89ûïmention sxsw apple comes cool technology ones ever heard dont go conferences\x89û\x9d,Negative emotion,1
sxsw apple sets 5000squarefoot temporary store sxsw sell new ipads test potential traffic link,No emotion toward brand or product,2
overheard sxsw google doesnt launch products peoples events,No emotion toward brand or product,2
nerd bait sxsw apple set open popup shop core sxsw action link,No emotion toward brand or product,2
long line sxsw else apple store link,No emotion toward brand or product,2
last year sxswi everbody talking ipad year social media driven revolutions year better sxsw,Positive emotion,0
long line apple pop store ipad 2 great marketing apple sxsw,Positive emotion,0
\x89ûïmention google 4 people work 7 people rather 7 people work 4 agileagency sxsw\x89û\x9d,Positive emotion,0
knackered home playing ipad updating iphone timeline smashed partytweets cant make go bed sxsw,Positive emotion,0
overheard mdw ill second halfway iphone battery already havent even boarded plane sxsw amateurhour,Negative emotion,1
technews sxsw apple schools marketing experts link technews apple jobsco sxsw tech,Positive emotion,0
first day sxsw fun final presentation google doodles googledoodle sxsw,Positive emotion,0
huge line apple store austin sxsw crowd tripping get new ipad,Positive emotion,0
ur google aclu 80s partyu sxsw,Positive emotion,0
queue apple popup store sxsw link,No emotion toward brand or product,2
posted dmi house intimate stranger stage got restaurant crowd sitting deal wif sxsw link,No emotion toward brand or product,2
woman google talk sounded like chelsea handler lol sxsw,No emotion toward brand or product,2
laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub sxsw,Positive emotion,0
sxsw attendees need qr code reader iphone tweet us image badge first 5 get optiscan free,Positive emotion,0
hey sxsw attendeesyou hop line apple store four days til new ipad2 comes,Positive emotion,0
anyone attending google amp aclu party mention sxsw could plz pictures thanks sxsw,No emotion toward brand or product,2
march 11 austin tx people line sxsw registration apple store,No emotion toward brand or product,2
landed austin spotted google places ads sxsw airport the ultimate austin pocket guide like yelp itouru,No emotion toward brand or product,2
