tweet_text,is_there_an_emotion_directed_at_a_brand_or_product,brand_or_device,ipad,iphone,apple,google,android
attn sxsw frineds mention register gdgtlive see cobra iradar android link,no emotion toward brand or product,android,0,0,0,0,1
anyone sxsw want sell old ipad,no emotion toward brand or product,ipad,1,0,0,0,0
anyone sxsw bought new ipad want sell older ipad,no emotion toward brand or product,ipad,1,0,0,0,0
sxsw oooh rt mention google launch major new social network called circles possibly today link,no emotion toward brand or product,google,0,0,0,1,0
best rt mention ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,positive emotion,"ipad, apple",1,0,1,0,0
spin play new concept music discovery ipad mention amp spincom link itunes sxsw mention,no emotion toward brand or product,ipad,1,0,0,0,0
mention false alarm google circles coming now\x89ûòand probably ever link google circles social sxsw,negative emotion,google,0,0,0,1,0
vatornews google apple force print media evolve link sxsw,no emotion toward brand or product,"google, apple",0,0,1,1,0
mention great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,positive emotion,"ipad, apple",1,0,1,0,0
hootsuite hootsuite mobile sxsw updates iphone blackberry amp android whether you\x89ûªre getting friend link,no emotion toward brand or product,"android, iphone",0,1,0,0,1
hey sxsw long think takes us make iphone case answer mention using zazzlesxsw we\x89ûªll make one,no emotion toward brand or product,iphone,0,1,0,0,0
mashable ipad 2 takes sxsw video ipad sxsw gadgets link,no emotion toward brand or product,ipad,1,0,0,0,0
ipad rt mention new ubersocial iphone app store includes uberguide sxsw sponsored link,no emotion toward brand or product,"ipad, iphone",1,1,0,0,0
ipad2 \x89û÷smartcover\x89ûª opens instant access waited get one link apple sxsw,positive emotion,"ipad, apple, iphone",1,1,1,0,0
handheld \x89û÷hobo\x89ûª drafthouse launches \x89û÷hobo shotgun\x89ûª iphone app sxsw link,positive emotion,iphone,0,1,0,0,0
hooray rt \x89ûïmention apple opening popup store austin sxsw mention link,positive emotion,apple,0,0,1,0,0
orly \x89ûïmention google set launch new social network circles today sxsw\x89û\x9d,no emotion toward brand or product,google,0,0,0,1,0
wooooo \x89ûïmention apple store downtown austin open til midnight sxsw\x89û\x9d,positive emotion,apple,0,0,1,0,0
khoi vinh mention says conde nasts headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,no emotion toward brand or product,ipad,1,0,0,0,0
\x89ûïmention link lt help forward doc anonymous accounts techiesamp ppl help us jam libya sxsw,no emotion toward brand or product,,0,0,0,0,0
\x89÷¼ \x89÷ link \x89ã edchat musedchat sxsw sxswi classical newtwitter,no emotion toward brand or product,,0,0,0,0,0
mention mention locationbased fast fun future link via mention sxsw,no emotion toward brand or product,,0,0,0,0,0
\x89ûïmention mention google connect digital amp physical worlds mobile link sxsw\x89û\x9d mention,no emotion toward brand or product,google,0,0,0,1,0
\x89ûïmention mention talking link googles effort allow users open systems bettercloud sxsw\x89û\x9d,positive emotion,google,0,0,0,1,0
link rt mention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw,no emotion toward brand or product,google,0,0,0,1,0
link rt mention 1st stop sxsw chaos amp mention hunt austin java get spy game 4 chance 2 win ipad,positive emotion,ipad,1,0,0,0,0
link rt mention sxsw check holler gram ipad app mention link,no emotion toward brand or product,ipad,1,0,0,0,0
mention mention amp mention fun google pic sxsw link,no emotion toward brand or product,google,0,0,0,1,0
quotvia mention link guy kawasaki talks enchanted sxsw knows stuff books internet apple sxsw quot,no emotion toward brand or product,apple,0,0,1,0,0
futuremf mention link spec recipes web google search link sxsw,no emotion toward brand or product,google,0,0,0,1,0
omfg rt mention heard apples popup store downtown austin pics already gowalla link sxsw ipad2,positive emotion,"ipad, apple",1,0,1,0,0
smile rt mention think apples quotpopup storequot austin would lot interesting actually know popped sxsw,no emotion toward brand or product,apple,0,0,1,0,0
rt mention line apple store insane sxsw,negative emotion,apple,0,0,1,0,0
agree rt mention wait fiona apple town somebody kidnap put recording studio records new album sxsw,no emotion toward brand or product,apple,0,0,1,0,0
sxsw mention mention wan na buy drink 7pm fado 4th link join us,no emotion toward brand or product,,0,0,0,0,0
attending mention ipad design headaches sxsw link,negative emotion,ipad,1,0,0,0,0
boooo rt mention flipboard developing iphone version android says mention sxsw,negative emotion,"android, iphone",0,1,0,0,1
check mention mention amp mention line ipad 2 austin power sxswi sxsw link,positive emotion,ipad,1,0,0,0,0
check rt mention giving added value location based services needs battle checkin fatigue google pnid sxsw,no emotion toward brand or product,google,0,0,0,1,0
chilcott mention sxsw stand talking blogger staff late win competition best tweet mentioning mention tshirt,no emotion toward brand or product,,0,0,0,0,0
rt mention come party w google tonight sxsw link bands food art ice cream nifty interactive maps,positive emotion,google,0,0,0,1,0
gowallas mention promises launch foursquare checkin groupon rewardstype service sxsw fingers crossed link,no emotion toward brand or product,,0,0,0,0,0
haha rt mention sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,no emotion toward brand or product,google,0,0,0,1,0
holla rt mention google party best ever get butt sxsw,positive emotion,google,0,0,0,1,0
love mention iphone case sxsw cant get phone fail,positive emotion,iphone,0,1,0,0,0
worship mention link sxsw,no emotion toward brand or product,,0,0,0,0,0
ipad2 rt mention droid amp mac rt mention agnerd confession using laptop ipad amp blackberry follow sxsw,no emotion toward brand or product,ipad,1,0,0,0,0
launching mention sxsw rt mention mention denies social network called circles debut today despite report link,no emotion toward brand or product,,0,0,0,0,0
new post mention iphone app makes easy connect social networks people meet link sxsw,positive emotion,"ipad, iphone",1,1,0,0,0
nice mention iphone app behaving today crashes yesterday ridiculous sxsw,positive emotion,"ipad, iphone",1,1,0,0,0
nice rt mention apple opening popup store ipad launch downtown austin sxsw link via mention,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
nice rt mention hey apple fans get peek space thats slated popup sxsw apple store tomorrow link,positive emotion,apple,0,0,1,0,0
one thing mention great get great earth face google company love sxsw sxwsi,positive emotion,google,0,0,0,1,0
stay tune mention showcase h4ckers link sxsw,no emotion toward brand or product,,0,0,0,0,0
thank mention mention touchingstories preso sxsw heres deck link,no emotion toward brand or product,,0,0,0,0,0
thank mention awesome sxsw party link,no emotion toward brand or product,,0,0,0,0,0
thanks rt mention youre trying contact friends family japan mention created person finder link sxsw,no emotion toward brand or product,,0,0,0,0,0
thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,positive emotion,"ipad, iphone",1,1,0,0,0
thanks mention publishing news mention new medical apps sxswi conf blog link sxsw sxswh,i can't tell,,0,0,0,0,0
thanks mention publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,no emotion toward brand or product,,0,0,0,0,0
mention sxsw provide iphone chargers ive changed mind going next year,negative emotion,iphone,0,1,0,0,0
wonder mention amp mention apple flashmob tcrnch fcs45j sxsw ipad2,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
wonder mention putting tips mention api sxsw suxsw,no emotion toward brand or product,,0,0,0,0,0
xmas rt mention shiny new mention mention mention apps new garyvee book popup ipad 2 stores sxsw christmas nerds,positive emotion,ipad,1,0,0,0,0
yai rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link,positive emotion,iphone,0,1,0,0,0
yes rt mention hey mention ive got another gem gt free mention sxsw link sxsw,no emotion toward brand or product,,0,0,0,0,0
fast fun amp future mention google presenting sxsw search local mobile,positive emotion,google,0,0,0,1,0
gsdampm amp googles industry party tonight mention see u link sxsw austin welivehere gsdm,no emotion toward brand or product,google,0,0,0,1,0
new buzz quotmention google launch major new social network called circles possibly today link rt mention sxswquot,no emotion toward brand or product,google,0,0,0,1,0
headline quotipad 2 musthave gadget sxswquot hmm could seen one coming link gadget,positive emotion,ipad,1,0,0,0,0
\x89ûïmention quotapple opened popup store austin nerds town sxsw get new ipads link wow,i can't tell,"ipad, apple",1,0,1,0,0
know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw,negative emotion,iphone,0,1,0,0,0
mention quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy,positive emotion,google,0,0,0,1,0
mention quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy via mention,no emotion toward brand or product,google,0,0,0,1,0
\x89ûïmention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw\x89û\x9d,positive emotion,google,0,0,0,1,0
attending quotleft brain search google right brain search xquot bettersearch talking future search engines sxsw,no emotion toward brand or product,google,0,0,0,1,0
hp opens quotmobile parkquot amp content incubator sxsw link apple constructs quotpopupquot store link,no emotion toward brand or product,apple,0,0,1,0,0
kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot bawling sxsw,positive emotion,apple,0,0,1,0,0
kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment,no emotion toward brand or product,apple,0,0,1,0,0
kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment via mention,positive emotion,apple,0,0,1,0,0
spark android teamandroid award sxsw read link,positive emotion,android,0,0,0,0,1
unboxing apple sxsw mention apple store sxsw link,no emotion toward brand or product,apple,0,0,1,0,0
sxsw apple ipad 2s great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi,positive emotion,"ipad, apple",1,0,1,0,0
sxsw apple schools marketing experts sxsw cnet blogs link,no emotion toward brand or product,apple,0,0,1,0,0
sxsw apple schools marketing experts link,positive emotion,apple,0,0,1,0,0
sxsw apple schools marketing experts link,no emotion toward brand or product,apple,0,0,1,0,0
temporary apple store def tent powerhouse gym sxsw link,positive emotion,apple,0,0,1,0,0
temporary apple store 6th congress sxsw along 10000 happy hipsters,positive emotion,apple,0,0,1,0,0
\x89ûïmention apple wins sxsw link opening temporary store downtown austin support ipad2 launch good,positive emotion,"ipad, apple",1,0,1,0,0
ipad austin trending today fun sxsw nerdy nerds,positive emotion,ipad,1,0,0,0,0
headed austin sxsw check map newbies link mention mention mention mention enjoy,no emotion toward brand or product,,0,0,0,0,0
funny austin trending sxsw matter minutes point least according twitter iphone,no emotion toward brand or product,iphone,0,1,0,0,0
christian ipad iphone devs want talk u sxsw maybe wk together cool app mention,positive emotion,"ipad, iphone",1,1,0,0,0
sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,no emotion toward brand or product,ipad,1,0,0,0,0
apple ipad2 taken sxsw austin storm link mention excited part mobile,positive emotion,"ipad, apple",1,0,1,0,0
haz ipad2 ifrom sxsw gr8 link,positive emotion,ipad,1,0,0,0,0
stacks ipad2s waiting bought sxsw got mine hassle apple handled perfectly link,positive emotion,"ipad, apple",1,0,1,0,0
googles mobile future elusive power link via mention eurorscg sxsw sxswi,no emotion toward brand or product,google,0,0,0,1,0
notatsxsw sxsw heres link free download meet nearby peps,no emotion toward brand or product,,0,0,0,0,0
smallbiz need reviews play google placeswe got app thatlink seo sxsw,positive emotion,google,0,0,0,1,0
smallbiz need reviews play google placeswe got app thatlink seo sxsw,no emotion toward brand or product,google,0,0,0,1,0
samsung sony follow apple hp lead mention link austin atx sxsw,no emotion toward brand or product,apple,0,0,1,0,0
samsung sony follow apple hp lead mention link austin atx sxsw via mention rg,no emotion toward brand or product,apple,0,0,1,0,0
take sxsw rt mention major south korean director gets 130000 make movie entirely iphone link,positive emotion,iphone,0,1,0,0,0
beautiful sxsw mention apple store sxsw pic link,positive emotion,apple,0,0,1,0,0
q1 sxsw sxswi prep amazing pre push locally focus location based google owns 10 regions billboards pr20chat,no emotion toward brand or product,google,0,0,0,1,0
sxsw accounts need follow apps download iphone,no emotion toward brand or product,iphone,0,1,0,0,0
headed sxsw want share gather contact info link turn iphone business card broadcaster,no emotion toward brand or product,iphone,0,1,0,0,0
headed sxsw want share gather contact info link turn iphone link,no emotion toward brand or product,iphone,0,1,0,0,0
btw sxsw apple store sold 3g models vzw amp atampt,no emotion toward brand or product,apple,0,0,1,0,0
must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,positive emotion,"ipad, iphone",1,1,0,0,0
temporary sxsw apple store apple sneaky usual link,positive emotion,apple,0,0,1,0,0
anyone sxsw popup apple store austin thats got ta hopping place today,no emotion toward brand or product,apple,0,0,1,0,0
\x89ûïmention sxsw beta testing interactive book ipad app moonbot studios louisiana cool app\x89û\x9d,positive emotion,"ipad, iphone",1,1,0,0,0
apple sxsw day one seeing ton ipad2,positive emotion,"ipad, apple",1,0,1,0,0
fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet mention fo info sxswi attsxsw tonight mention bolt house,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
anyone sxsw chance check popup apple store wondering worth trek convention center,no emotion toward brand or product,apple,0,0,1,0,0
\x89ûïmention sxsw ipad store sold everything except 64gig wifi white\x89û\x9d mention manage get,positive emotion,ipad,1,0,0,0,0
\x89ûïmention sxsw ipad store sold everything except 64gig wifi white\x89û\x9d also known white jeans configuration,positive emotion,ipad,1,0,0,0,0
offered sxsw ipad promo ninjafinder users fans sxsw sucks sxsw,positive emotion,ipad,1,0,0,0,0
mention sxsw austin conference google search interactive music film,no emotion toward brand or product,google,0,0,0,1,0
anyone sxsw know apple selling ipad 2,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
anyone sxsw know apple store new shipment ipads yet,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
marc ecko sxsw launches iphone app autodial political change link edreform edtech eduvc fightthepaddle,no emotion toward brand or product,iphone,0,1,0,0,0
poursite sxsw learning lifechanging impact ipad real peoples actual lives bravo,positive emotion,ipad,1,0,0,0,0
mention sxsw lonelyplanet austin guide iphone free limited time link lp travel,positive emotion,iphone,0,1,0,0,0
free sxsw mp3 downloads time itunes link,no emotion toward brand or product,,0,0,0,0,0
anyone sxsw heading aclu event seen owt google circles,no emotion toward brand or product,google,0,0,0,1,0
mention sxsw prompt memory go google map describe childhood walk,no emotion toward brand or product,google,0,0,0,1,0
apple sxsw store still ipad 2s short lines,positive emotion,"ipad, apple",1,0,1,0,0
essential sxsw tools link,no emotion toward brand or product,,0,0,0,0,0
left sxsw tradeshow demo mention google theatre ok get see presenters using,positive emotion,google,0,0,0,1,0
following sxsw tweets google realtime four platforms tweet deck listening panel realizing im spoken one today,no emotion toward brand or product,google,0,0,0,1,0
anyone sxsw want ipad 2 im line pick one someone willing pay 50 grab 1,no emotion toward brand or product,ipad,1,0,0,0,0
anyone sxsw want make quick hundred dollars new ipad2 ad hoc apple store gets hundred plus cost,positive emotion,"ipad, apple",1,0,1,0,0
solving sxswinduced iphoneintoilet crisis apple store mention crisis,no emotion toward brand or product,"apple, iphone",0,1,1,0,0
monday sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis mondays,positive emotion,google,0,0,0,1,0
attending sxsw austin guide mention free download itunes link lp,no emotion toward brand or product,,0,0,0,0,0
seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync wp7,negative emotion,"ipad, iphone",1,1,0,0,0
ready sxsw iphone apps 2 make ur blogging easier link sxsw sxswi,positive emotion,"ipad, iphone",1,1,0,0,0
ipad2 sxswa conflagration doofusness link,negative emotion,ipad,1,0,0,0,0
attention sxswers link rumored popup temporary apple store sxsw ipad 2 launch needs,positive emotion,"ipad, apple",1,0,1,0,0
went sxswi lousy ipad sxsw link,positive emotion,ipad,1,0,0,0,0
hey sxsw sxswi folks want learn security come bsidesaustin link,no emotion toward brand or product,,0,0,0,0,0
attending sxswi work iphone ipad game development looking hire austinbased ios developer im man lets talk sxsw,no emotion toward brand or product,"ipad, iphone",1,1,0,0,0
winning picture android google sxsw link,positive emotion,"android, google",0,0,0,1,1
gsdampm google 710 rt mention whats best party hit tonight sxsw mention mention,no emotion toward brand or product,google,0,0,0,1,0
gsdampm google industry party sxsw mention great meet link,no emotion toward brand or product,google,0,0,0,1,0
spent 1000 come sxsw youve already used ipad 1 wait couple city blocks ipad2 sxsw link,negative emotion,ipad,1,0,0,0,0
sxsw day 1 marissa mayer google connect digital amp physical worlds mobile link,no emotion toward brand or product,google,0,0,0,1,0
behind 100s emails give 1 line iphone composed replies sxsw protip,positive emotion,iphone,0,1,0,0,0
like 10pm night line around block popup apple stores selling ipad2s sxsw,positive emotion,"ipad, apple",1,0,1,0,0
mention 1154 free songs sxsw year alone link,no emotion toward brand or product,,0,0,0,0,0
150 million mobile users google maps mobile sxsw,no emotion toward brand or product,google,0,0,0,1,0
currently 150 people line quotpop apple storequot sxsw,no emotion toward brand or product,apple,0,0,1,0,0
ipad 2 available sxsw 64gb wifionly model 699 plus optional leather smart cover 69,no emotion toward brand or product,ipad,1,0,0,0,0
\x89÷¼ love 2 entertain you\x89ûplease don\x89ûªt grateful \x89÷ link \x89ã edchat musedchat sxsw sxswi classical newtwitter,no emotion toward brand or product,,0,0,0,0,0
less 2 hours announce details ipad 2 giveaway sxsw sxswi,no emotion toward brand or product,ipad,1,0,0,0,0
im 2 ipad 2s seen wild people say fast still pics terrible sxsw,negative emotion,ipad,1,0,0,0,0
ipad 2 queue sxsw course,no emotion toward brand or product,ipad,1,0,0,0,0
ipad 2 takes sxsw video mention link,positive emotion,ipad,1,0,0,0,0
many ipad 2s snapping away keynote slides sxsw,positive emotion,ipad,1,0,0,0,0
apple 200m users credit cards syncd itunes one click purchase winning sxsw,no emotion toward brand or product,apple,0,0,1,0,0
2nd cocktail quottexas snowflakequot mention google cnngrill sxsw,no emotion toward brand or product,google,0,0,0,1,0
new post 3 iphone apps well using south southwest interactive link sxsw sxswi,positive emotion,"ipad, iphone",1,1,0,0,0
new post 3 iphone apps well using south southwest interactive sxsw sxswi link,no emotion toward brand or product,iphone,0,1,0,0,0
sweet new 3d google maps demo going ballroom sxsw,positive emotion,google,0,0,0,1,0
35 million miles per day driving google maps navigation sxsw,positive emotion,google,0,0,0,1,0
rt 4 pm ipad2 line apple store longer wider \x89ûò 250 people one hour sxsw,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
u smart 4 packing extra rt mention way sunny austin sxsw extra iphone stow case mention mention,no emotion toward brand or product,iphone,0,1,0,0,0
wonder 4sqwill attempt block gowalla crosscheckins way facebook blocked googles contacts connections sxsw lbswars,no emotion toward brand or product,google,0,0,0,1,0
sxsw day 5 apple store theres still lineand growing link,positive emotion,apple,0,0,1,0,0
check 5 steps bulletproof ux strategy sxsw link sxsw rhjrux5 link,no emotion toward brand or product,,0,0,0,0,0
wandering 6th street girls stopped ceviche mojitos apple juice amp ice cream sxsw,no emotion toward brand or product,apple,0,0,1,0,0
youre band sxsw want share track audience stage use frostwire android theres wifi available,positive emotion,android,0,0,0,0,1
weve got busy week ahead new book google apps available amazon amp attending sxsw,no emotion toward brand or product,google,0,0,0,1,0
believe went aussies sxsw rt mention ipad 2 sold 70 went new buyers report link,no emotion toward brand or product,ipad,1,0,0,0,0
\x89ûïmention google spreadsheet 270 parties sxsw year oo link mention plan going sxsw party,no emotion toward brand or product,google,0,0,0,1,0
guy line apples popup store sixth street austin quotim guyquot told sxsw,no emotion toward brand or product,apple,0,0,1,0,0
u iphone dont need caruse zimride etc share rides sxsw shareable,positive emotion,"ipad, iphone",1,1,0,0,0
ive seen lot tablets every single one ipad sxsw,no emotion toward brand or product,ipad,1,0,0,0,0
receiving lot mention messages telling im sexy response post looking meet fellow christian iphone devs sxsw,no emotion toward brand or product,iphone,0,1,0,0,0
picked mophie battery case 4 iphone prep sxsw lugging around laptop amp using phone huge win last year,positive emotion,iphone,0,1,0,0,0
thats news p rtmention google launch major new social network called circles possibly today link sxsw,no emotion toward brand or product,google,0,0,0,1,0
took piss trade show ipad one hand iphone pissing kiiiiiilling right sxsw,no emotion toward brand or product,"ipad, iphone",1,1,0,0,0
rumor monger good read å google circles preview mention sxsw link mention via mention socbiz fb,positive emotion,google,0,0,0,1,0
hobo shotgun iphone game link sxsw,no emotion toward brand or product,iphone,0,1,0,0,0
hobo shotgun video game coming ipad iphone users yes please link sxsw,positive emotion,"ipad, iphone",1,1,0,0,0
build store less 24 hours one biggest launches companys history got apple sxsw ipad2,positive emotion,"ipad, apple",1,0,1,0,0
took survey iphone starbucks line got free starbucks gift card instant research instant gratification sxsw gsdm,no emotion toward brand or product,iphone,0,1,0,0,0
apple temporary retail store austin ipad 2 release today opens 5pm sxsw sxswi ipad2,no emotion toward brand or product,"ipad, apple",1,0,1,0,0
read groupme sxswsounds like incredible app available android phones yet,positive emotion,"android, ipad, iphone",1,1,0,0,1
wondering circles gt google reveal new social network sxsw link,no emotion toward brand or product,google,0,0,0,1,0
google search local marissa mayer sxsw,no emotion toward brand or product,google,0,0,0,1,0
wondering street closures sxsw made google map show link sxsw austin,no emotion toward brand or product,google,0,0,0,1,0
google another go social quotgoogle circlesquot sxsw google,no emotion toward brand or product,google,0,0,0,1,0
questions whats inside ipad 2 fire way sxsw,no emotion toward brand or product,ipad,1,0,0,0,0
paraormal activity sanctuary iphone game sketching ar experience interactivity quotmagic lensequot eduar sxsw,no emotion toward brand or product,iphone,0,1,0,0,0
apple iie ad 85 si swimsuit issue garage sale sxsw link,no emotion toward brand or product,apple,0,0,1,0,0
flipboard adds instagram photos social search apps link apple socialsearch sxsw,no emotion toward brand or product,apple,0,0,1,0,0
spent aftrnoon frozen lake photographing brother scott amp mention team catch sxsw ths weeknd link,no emotion toward brand or product,,0,0,0,0,0
iphone alarms botch timechange many sxswers freak late flights missed panels behind bloody marys,negative emotion,iphone,0,1,0,0,0
shouts ladies holding ipad 2s free sxsw shows take photos sipping free beer cc mention,positive emotion,ipad,1,0,0,0,0
dj hoodie allen due respect probably make way back google sxsw,no emotion toward brand or product,google,0,0,0,1,0
meant also wish sxsw dyac stupid iphone,negative emotion,iphone,0,1,0,0,0
america needs rt mention google launch major new social network called circles possibly today link sxsw,i can't tell,google,0,0,0,1,0
audioboo american dream bust link ipad sxsw bum begger us socialart documentally,no emotion toward brand or product,ipad,1,0,0,0,0
skifta appbased media shifting service turns android phone sxsw mashable sxswi link,no emotion toward brand or product,android,0,0,0,0,1
rumors apple store opening sxsw 6th amp congress signs point yes link,positive emotion,apple,0,0,1,0,0
apple security guy locks store sxsw link,no emotion toward brand or product,apple,0,0,1,0,0
apple security guy locks store sxsw realtime sxsw link curated mention,no emotion toward brand or product,apple,0,0,1,0,0
got ipad 2 sxsw link cc mention,no emotion toward brand or product,ipad,1,0,0,0,0
picked ipad 2 sxsw pop apple store 15 minute wait,positive emotion,"ipad, apple",1,0,1,0,0
brilliant enlightening game mechanics presentation mention google sxsw,positive emotion,google,0,0,0,1,0
gsdampm googlesitting tree link sxsw gsdm,no emotion toward brand or product,google,0,0,0,1,0
mention heres pic winning ipad unsix sxsw cc mention mention link cont link,no emotion toward brand or product,ipad,1,0,0,0,0
iphone thirsty sxsw mention chevy volt lounge w 16 others link,no emotion toward brand or product,iphone,0,1,0,0,0
iphone thirsty sxsw mention chevy volt lounge w 16 others link link,no emotion toward brand or product,iphone,0,1,0,0,0
came left sxsw iphone playing song chosen random skreams listening records wall appropriate,no emotion toward brand or product,iphone,0,1,0,0,0
marketing sales genius link apple sxsw,positive emotion,apple,0,0,1,0,0
arduino android flaming skulls link refrigerator speaks salon k 330pm mention mention sxsw smartthings,no emotion toward brand or product,android,0,0,0,0,1
reminder android chrome tts talk mention 1 pm today link sxsw,no emotion toward brand or product,android,0,0,0,0,1
ipad 2 vs android vs world panel sxsw today 330pm mention link,no emotion toward brand or product,"android, ipad",1,0,0,0,1
backupify announces cloudsight search first searchable archive solution social media google apps sxsw sxswi link,no emotion toward brand or product,google,0,0,0,1,0
google announcing social network quotcirclesquot via sxsw tweets interesting myopia cause buzz jokes interesting,no emotion toward brand or product,google,0,0,0,1,0
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,positive emotion,"ipad, iphone",1,1,0,0,0
u see anything googles circles sxsw mention mention,no emotion toward brand or product,google,0,0,0,1,0
sxsw app iphone ridiculous personal planner next 5 days,positive emotion,"ipad, iphone",1,1,0,0,0
sxsw app android huge props mention mention mention amp mention get link,no emotion toward brand or product,android,0,0,0,0,1
found app kyping iphones geolocation amp releasing background need patch mention batterykiller sxsw,negative emotion,"ipad, iphone",1,1,0,0,0
sxsw app iphone live rsvp events phone amp check sundayswaggereventbritecom 3 20 scoremore,positive emotion,"ipad, iphone",1,1,0,0,0
